"Employee_ID","Job_Role","Work_Life_Balance_Rating"
"EMP0002","Data Scientist","1"
"EMP0007","Sales","3"
"EMP0011","Software Engineer","3"
"EMP0013","Marketing","2"
"EMP0015","Project Manager","3"
"EMP0016","Sales","4"
"EMP0019","Software Engineer","1"
"EMP0020","Software Engineer","3"
"EMP0025","Sales","3"
"EMP0030","Software Engineer","2"
"EMP0033","Project Manager","2"
"EMP0034","Software Engineer","3"
"EMP0038","Designer","2"
"EMP0041","Data Scientist","4"
"EMP0043","Project Manager","3"
"EMP0044","Designer","4"
"EMP0045","HR","3"
"EMP0046","Marketing","2"
"EMP0047","Data Scientist","1"
"EMP0048","Sales","5"
"EMP0052","Sales","5"
"EMP0057","Software Engineer","5"
"EMP0059","Designer","1"
"EMP0060","Data Scientist","2"
"EMP0062","Sales","2"
"EMP0066","HR","4"
"EMP0068","Marketing","2"
"EMP0070","Marketing","2"
"EMP0072","Designer","1"
"EMP0078","Marketing","5"
"EMP0079","Data Scientist","2"
"EMP0089","Designer","5"
"EMP0094","Data Scientist","4"
"EMP0096","Project Manager","5"
"EMP0109","Software Engineer","4"
"EMP0110","Data Scientist","5"
"EMP0112","HR","5"
"EMP0113","Marketing","1"
"EMP0115","Designer","2"
"EMP0118","Data Scientist","2"
"EMP0125","HR","2"
"EMP0128","Project Manager","5"
"EMP0131","Designer","1"
"EMP0132","Marketing","5"
"EMP0136","Marketing","5"
"EMP0137","Data Scientist","2"
"EMP0138","Sales","4"
"EMP0139","Data Scientist","3"
"EMP0145","HR","5"
"EMP0146","Marketing","3"
"EMP0148","Designer","1"
"EMP0151","Software Engineer","3"
"EMP0152","Designer","4"
"EMP0154","Data Scientist","1"
"EMP0155","Software Engineer","1"
"EMP0168","Software Engineer","2"
"EMP0169","HR","2"
"EMP0171","Designer","1"
"EMP0174","Designer","2"
"EMP0176","Project Manager","3"
"EMP0181","Data Scientist","1"
"EMP0182","Marketing","5"
"EMP0186","Designer","1"
"EMP0190","Data Scientist","1"
"EMP0196","Sales","2"
"EMP0199","Project Manager","4"
"EMP0200","Data Scientist","3"
"EMP0202","Sales","2"
"EMP0208","Designer","3"
"EMP0209","Marketing","4"
"EMP0215","Marketing","1"
"EMP0216","Software Engineer","2"
"EMP0219","HR","3"
"EMP0225","Designer","1"
"EMP0227","Data Scientist","5"
"EMP0234","Software Engineer","3"
"EMP0236","Data Scientist","2"
"EMP0238","Software Engineer","5"
"EMP0239","Marketing","5"
"EMP0243","Project Manager","1"
"EMP0244","Sales","2"
"EMP0247","Data Scientist","5"
"EMP0249","HR","3"
"EMP0254","HR","3"
"EMP0259","Data Scientist","1"
"EMP0260","Software Engineer","2"
"EMP0265","Sales","1"
"EMP0273","Marketing","4"
"EMP0277","Sales","4"
"EMP0278","Marketing","3"
"EMP0282","Designer","5"
"EMP0283","Data Scientist","1"
"EMP0284","Data Scientist","5"
"EMP0287","HR","4"
"EMP0290","Marketing","4"
"EMP0298","Sales","5"
"EMP0299","Marketing","2"
"EMP0301","Designer","3"
"EMP0302","HR","2"
"EMP0304","Software Engineer","1"
"EMP0305","Project Manager","4"
"EMP0310","Sales","2"
"EMP0315","Marketing","3"
"EMP0316","Designer","5"
"EMP0318","HR","2"
"EMP0328","Designer","2"
"EMP0331","Software Engineer","5"
"EMP0332","Sales","5"
"EMP0341","Data Scientist","1"
"EMP0344","Data Scientist","3"
"EMP0346","Software Engineer","4"
"EMP0347","Marketing","1"
"EMP0351","Designer","1"
"EMP0355","Project Manager","5"
"EMP0356","Sales","1"
"EMP0357","HR","1"
"EMP0358","Designer","3"
"EMP0359","Sales","3"
"EMP0369","Data Scientist","1"
"EMP0370","Software Engineer","4"
"EMP0373","Software Engineer","5"
"EMP0374","Sales","3"
"EMP0378","Designer","5"
"EMP0379","Designer","5"
"EMP0380","Marketing","2"
"EMP0381","Designer","3"
"EMP0382","Project Manager","2"
"EMP0384","Sales","3"
"EMP0385","Designer","2"
"EMP0386","Project Manager","1"
"EMP0389","Sales","5"
"EMP0392","Marketing","5"
"EMP0400","Data Scientist","5"
"EMP0401","HR","4"
"EMP0402","Project Manager","4"
"EMP0405","Data Scientist","4"
"EMP0408","HR","4"
"EMP0409","Data Scientist","1"
"EMP0410","Project Manager","2"
"EMP0411","Software Engineer","2"
"EMP0419","HR","4"
"EMP0421","HR","1"
"EMP0422","Marketing","1"
"EMP0425","Sales","2"
"EMP0427","Sales","2"
"EMP0430","Sales","5"
"EMP0437","HR","4"
"EMP0445","Software Engineer","3"
"EMP0447","Sales","5"
"EMP0452","Data Scientist","3"
"EMP0454","Marketing","4"
"EMP0455","Data Scientist","3"
"EMP0456","Sales","4"
"EMP0458","Sales","2"
"EMP0461","Project Manager","2"
"EMP0463","Designer","1"
"EMP0472","HR","2"
"EMP0473","Designer","3"
"EMP0475","Marketing","2"
"EMP0478","Designer","4"
"EMP0483","Marketing","3"
"EMP0484","Project Manager","2"
"EMP0485","Data Scientist","1"
"EMP0489","Sales","3"
"EMP0494","Marketing","1"
"EMP0495","Software Engineer","4"
"EMP0498","Data Scientist","4"
"EMP0505","Software Engineer","3"
"EMP0506","Software Engineer","4"
"EMP0507","Sales","1"
"EMP0508","Designer","1"
"EMP0510","Sales","2"
"EMP0511","HR","4"
"EMP0514","Data Scientist","4"
"EMP0515","Project Manager","1"
"EMP0516","Designer","1"
"EMP0517","HR","2"
"EMP0526","Software Engineer","2"
"EMP0540","Project Manager","4"
"EMP0542","Data Scientist","4"
"EMP0543","Data Scientist","5"
"EMP0546","HR","4"
"EMP0549","Designer","4"
"EMP0555","Project Manager","5"
"EMP0556","HR","4"
"EMP0559","HR","3"
"EMP0564","Software Engineer","2"
"EMP0567","Sales","1"
"EMP0570","Software Engineer","1"
"EMP0572","Sales","3"
"EMP0575","Software Engineer","4"
"EMP0578","Sales","4"
"EMP0580","HR","4"
"EMP0583","HR","1"
"EMP0587","Sales","5"
"EMP0589","Designer","5"
"EMP0592","Marketing","3"
"EMP0593","Sales","2"
"EMP0594","Project Manager","5"
"EMP0597","Designer","5"
"EMP0598","HR","4"
"EMP0599","Marketing","5"
"EMP0606","Sales","1"
"EMP0613","Marketing","4"
"EMP0615","Sales","4"
"EMP0618","Sales","4"
"EMP0622","Project Manager","5"
"EMP0625","HR","4"
"EMP0626","Project Manager","1"
"EMP0628","Marketing","1"
"EMP0633","Sales","3"
"EMP0638","Software Engineer","3"
"EMP0649","Marketing","3"
"EMP0651","Software Engineer","4"
"EMP0653","Project Manager","1"
"EMP0654","Data Scientist","3"
"EMP0656","Designer","5"
"EMP0658","Marketing","1"
"EMP0659","HR","5"
"EMP0663","Software Engineer","5"
"EMP0664","Sales","1"
"EMP0668","Data Scientist","4"
"EMP0671","Software Engineer","5"
"EMP0672","Designer","4"
"EMP0674","Sales","2"
"EMP0675","HR","4"
"EMP0677","Sales","1"
"EMP0678","Software Engineer","2"
"EMP0685","Data Scientist","1"
"EMP0687","Data Scientist","4"
"EMP0688","Data Scientist","3"
"EMP0692","Designer","3"
"EMP0695","Software Engineer","3"
"EMP0702","Designer","2"
"EMP0705","Marketing","2"
"EMP0706","Designer","3"
"EMP0707","Software Engineer","2"
"EMP0708","Project Manager","4"
"EMP0714","Sales","1"
"EMP0715","Software Engineer","5"
"EMP0717","Software Engineer","1"
"EMP0720","Designer","5"
"EMP0726","Sales","4"
"EMP0727","Sales","1"
"EMP0729","Designer","2"
"EMP0733","Designer","3"
"EMP0736","Marketing","5"
"EMP0738","HR","4"
"EMP0740","Sales","3"
"EMP0742","Marketing","3"
"EMP0746","Designer","4"
"EMP0749","Project Manager","1"
"EMP0751","Data Scientist","3"
"EMP0752","Designer","5"
"EMP0753","Data Scientist","5"
"EMP0754","Data Scientist","2"
"EMP0755","Designer","1"
"EMP0756","Marketing","1"
"EMP0758","Designer","3"
"EMP0763","Marketing","3"
"EMP0768","Marketing","2"
"EMP0769","Software Engineer","4"
"EMP0770","Project Manager","5"
"EMP0772","Designer","1"
"EMP0776","Sales","1"
"EMP0780","Designer","3"
"EMP0785","Software Engineer","3"
"EMP0788","Marketing","3"
"EMP0792","Marketing","1"
"EMP0794","Marketing","2"
"EMP0798","Data Scientist","4"
"EMP0801","Marketing","5"
"EMP0807","Software Engineer","5"
"EMP0808","Designer","5"
"EMP0814","Software Engineer","5"
"EMP0817","Sales","4"
"EMP0819","Marketing","3"
"EMP0821","Sales","2"
"EMP0826","Designer","5"
"EMP0832","Software Engineer","4"
"EMP0833","Data Scientist","2"
"EMP0836","Sales","5"
"EMP0843","Designer","2"
"EMP0848","Marketing","5"
"EMP0850","Software Engineer","2"
"EMP0852","Sales","3"
"EMP0854","HR","1"
"EMP0855","HR","1"
"EMP0856","Designer","1"
"EMP0857","Sales","1"
"EMP0865","Sales","3"
"EMP0869","Data Scientist","1"
"EMP0871","Sales","5"
"EMP0877","Software Engineer","3"
"EMP0879","Sales","4"
"EMP0883","Project Manager","1"
"EMP0884","Project Manager","1"
"EMP0885","Software Engineer","2"
"EMP0889","Marketing","4"
"EMP0891","HR","4"
"EMP0892","HR","1"
"EMP0895","Data Scientist","4"
"EMP0896","Marketing","2"
"EMP0897","Sales","1"
"EMP0901","Project Manager","3"
"EMP0904","Data Scientist","4"
"EMP0906","Project Manager","5"
"EMP0907","Designer","5"
"EMP0910","Software Engineer","3"
"EMP0912","Data Scientist","5"
"EMP0916","Software Engineer","5"
"EMP0919","Data Scientist","5"
"EMP0921","Software Engineer","4"
"EMP0923","Sales","5"
"EMP0927","Designer","5"
"EMP0930","Project Manager","4"
"EMP0931","Designer","1"
"EMP0932","Designer","2"
"EMP0933","HR","4"
"EMP0934","Project Manager","2"
"EMP0935","Software Engineer","2"
"EMP0939","HR","2"
"EMP0940","Software Engineer","4"
"EMP0946","Data Scientist","1"
"EMP0949","Software Engineer","4"
"EMP0950","Software Engineer","4"
"EMP0951","Designer","4"
"EMP0952","Software Engineer","5"
"EMP0955","Marketing","2"
"EMP0957","HR","2"
"EMP0961","HR","1"
"EMP0964","Project Manager","3"
"EMP0967","Sales","2"
"EMP0971","Software Engineer","4"
"EMP0973","Software Engineer","3"
"EMP0974","Software Engineer","2"
"EMP0975","HR","4"
"EMP0976","HR","4"
"EMP0978","Sales","4"
"EMP0980","Project Manager","5"
"EMP0987","Marketing","2"
"EMP0988","HR","5"
"EMP0990","Software Engineer","3"
"EMP0994","Project Manager","3"
"EMP0995","Software Engineer","3"
"EMP0996","Sales","1"
"EMP1000","Designer","1"
"EMP1005","Marketing","2"
"EMP1008","Marketing","1"
